file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_SYSTEM.BIN,0,string_pack,0,よろしいですか？,Is this OK?,Confirmer ?,Möchtest du fortfahren?,Vuoi proseguire?,¿Seguro?
MES_SYSTEM.BIN,0,string_pack,1,@[pad:Decide]はい　　@[pad:Cancel]いいえ,@[pad:Decide]Yes  @[pad:Cancel]No,@[pad:Decide]Oui　　@[pad:Cancel]Non,@[pad:Decide]Ja　　@[pad:Cancel]Nein,@[pad:Decide]Sì　　@[pad:Cancel]No,@[pad:Decide]Sí　　@[pad:Cancel]No
MES_SYSTEM.BIN,0,string_pack,2,@[pad:Proceed]進む,@[pad:Proceed]Next,@[pad:Proceed]Continuer,@[pad:Proceed]Weiter,@[pad:Proceed]Prosegui,@[pad:Proceed]Continuar
MES_SYSTEM.BIN,0,string_pack,3,@[pad:Rl]セーブ,@[pad:Rl]Save,@[pad:Rl]Sauvegarder,@[pad:Rl]Speichern,@[pad:Rl]Salva,@[pad:Rl]Guardar
MES_SYSTEM.BIN,0,string_pack,4,@[pad:Ru]スコアのアップロード,@[pad:Ru]Upload score,@[pad:Ru]Transfert score de karma,@[pad:Ru]Karma-Punkte hochladen,@[pad:Ru]Invia punteggio karma,@[pad:Ru]Cargar puntuación Karma
MES_SYSTEM.BIN,0,string_pack,5,@[pad:Ru]ランキングの閲覧,@[pad:Ru]View leaderboards,@[pad:Ru]Consulter classement,@[pad:Ru]Bestenlisten anzeigen,@[pad:Ru]Vedi classifiche,@[pad:Ru]Ver marcador
MES_SYSTEM.BIN,0,string_pack,6,@[pad:Rl]ストレージの変更,@[pad:Rl]Change storage device,@[pad:Rl]Changer de périphérique de stockage,@[pad:Rl]Speichermedium wechseln,@[pad:Rl]Cambia periferica di memorizzazione,@[pad:Rl]Cambiar dispositivo de almacenamiento
MES_SYSTEM.BIN,0,string_pack,7,@[pad:Decide]決定,@[pad:Decide]OK,@[pad:Decide]Valider,@[pad:Decide]Bestätigen,@[pad:Decide]Conferma,@[pad:Decide]Confirmar
MES_SYSTEM.BIN,0,string_pack,8,@[pad:Ru]削除,@[pad:Ru]Delete,@[pad:Ru]Supprimer,@[pad:Ru]Löschen,@[pad:Ru]Elimina,@[pad:Ru]Eliminar
MES_SYSTEM.BIN,0,string_pack,9,@[pad:Ru]RANKING,@[pad:Ru]Leaderboards,@[pad:Ru]CLASSEMENT,@[pad:Ru]RANGLISTE,@[pad:Ru]CLASSIFICA,@[pad:Ru]RANGO
MES_SYSTEM.BIN,0,string_pack,10,@[pad:Ru]招待メッセージ,@[pad:Ru]Invite,@[pad:Ru] Message d'invitation,@[pad:Ru] Einladungsnachricht,@[pad:Ru] Invita,@[pad:Ru] Mandar invitación
MES_SYSTEM.BIN,0,string_pack,11,@[pad:Decide]ダウンロード,@[pad:Decide]Download,@[pad:Decide]Télécharger,@[pad:Decide]Herunterladen,@[pad:Decide]Scarica,@[pad:Decide]Descargar
MES_SYSTEM.BIN,0,string_pack,12,上書きしますか？,Overwrite this data?,Désirez-vous écraser cette sauvegarde ?,Spielstand überschreiben?,Sovrascrivere la partita salvata?,¿Sobrescribir la partida guardada?
MES_SYSTEM.BIN,0,string_pack,13,削除しますか？,Delete this data?,Désirez-vous vraiment effacer ces données ?,Möchten Sie wirklich löschen?,Sei sicuro di volerla eliminare?,¿Seguro que quiere eliminarlo?
MES_SYSTEM.BIN,0,string_pack,14,Chapter,Chapter,Chapitre,Kapitel,Capitolo,Capítulo
MES_SYSTEM.BIN,0,string_pack,15,Ch.,Ch.,Ch.,Kap.,Cap.,Cap.
MES_SYSTEM.BIN,0,string_pack,16,pts.,pts.,Pts,Pkt.,Pnt.,Pts.
MES_SYSTEM.BIN,0,string_pack,17,Slot,Slot,Emplacement,Slot,Posizione,Ranura
MES_SYSTEM.BIN,0,string_pack,18,空きスロット,Slot empty,Emplacement vide,Slot leer,Posizione libera,Ranura vacía
MES_SYSTEM.BIN,0,string_pack,19,クリアデータ,Completed game,Jeu terminé,Beendetes Spiel,Gioco completato,Partida completada
MES_SYSTEM.BIN,0,string_pack,20,？？？,？？？,???,???,???,???
MES_SYSTEM.BIN,0,string_pack,21,はい,Yes,OUI,JA,SÌ,SÍ
MES_SYSTEM.BIN,0,string_pack,22,いいえ,No,NON,NEIN,NO,NO
MES_SYSTEM.BIN,0,string_pack,23,@[pad:Rl],@[pad:Rl],@[pad:Rl],@[pad:Rl],@[pad:Rl],@[pad:Rl]
MES_SYSTEM.BIN,0,string_pack,24,@[pad:Ru],@[pad:Ru],@[pad:Ru],@[pad:Ru],@[pad:Ru],@[pad:Ru]
MES_SYSTEM.BIN,0,string_pack,25,@[pad:Rr],@[pad:Rr],@[pad:Rr],@[pad:Rr],@[pad:Rr],@[pad:Rr]
MES_SYSTEM.BIN,0,string_pack,26,@[pad:Rd],@[pad:Rd],@[pad:Rd],@[pad:Rd],@[pad:Rd],@[pad:Rd]
MES_SYSTEM.BIN,0,string_pack,27,@[pad:Rl]@[symbol:plus]@[pad:Rd],@[pad:Rl]@[symbol:plus]@[pad:Rd],@[pad:Rl]@[symbol:plus]@[pad:Rd],@[pad:Rl]@[symbol:plus]@[pad:Rd],@[pad:Rl]@[symbol:plus]@[pad:Rd],@[pad:Rl]@[symbol:plus]@[pad:Rd]
MES_SYSTEM.BIN,0,string_pack,28,@[pad:Ru]@[symbol:plus]@[pad:Rr],@[pad:Ru]@[symbol:plus]@[pad:Rr],@[pad:Ru]@[symbol:plus]@[pad:Rr],@[pad:Ru]@[symbol:plus]@[pad:Rr],@[pad:Ru]@[symbol:plus]@[pad:Rr],@[pad:Ru]@[symbol:plus]@[pad:Rr]
MES_SYSTEM.BIN,0,string_pack,29,@[pad:Rl]@[symbol:plus]@[pad:Ru],@[pad:Rl]@[symbol:plus]@[pad:Ru],@[pad:Rl]@[symbol:plus]@[pad:Ru],@[pad:Rl]@[symbol:plus]@[pad:Ru],@[pad:Rl]@[symbol:plus]@[pad:Ru],@[pad:Rl]@[symbol:plus]@[pad:Ru]
MES_SYSTEM.BIN,0,string_pack,30,@[pad:Rd]@[symbol:plus]@[pad:Rr],@[pad:Rd]@[symbol:plus]@[pad:Rr],@[pad:Rd]@[symbol:plus]@[pad:Rr],@[pad:Rd]@[symbol:plus]@[pad:Rr],@[pad:Rd]@[symbol:plus]@[pad:Rr],@[pad:Rd]@[symbol:plus]@[pad:Rr]
MES_SYSTEM.BIN,0,string_pack,31,@[pad:R2],@[pad:R2],@[pad:R2],@[pad:R2],@[pad:R2],@[pad:R2]
MES_SYSTEM.BIN,0,string_pack,32,@[pad:L2],@[pad:L2],@[pad:L2],@[pad:L2],@[pad:L2],@[pad:L2]
MES_SYSTEM.BIN,0,string_pack,33,@[pad:R1],@[pad:R1],@[pad:R1],@[pad:R1],@[pad:R1],@[pad:R1]
MES_SYSTEM.BIN,0,string_pack,34,@[pad:L1],@[pad:L1],@[pad:L1],@[pad:L1],@[pad:L1],@[pad:L1]
MES_SYSTEM.BIN,0,string_pack,35,@[pad:Start],@[pad:Start],@[pad:Start],@[pad:Start],@[pad:Start],@[pad:Start]
MES_SYSTEM.BIN,0,string_pack,36,@[pad:Select],@[pad:Select],@[pad:Select],@[pad:Select],@[pad:Select],@[pad:Select]
MES_SYSTEM.BIN,0,string_pack,37,@[pad:LS],@[pad:LS],@[pad:LS],@[pad:LS],@[pad:LS],@[pad:LS]
MES_SYSTEM.BIN,0,string_pack,38,@[pad:RS],@[pad:RS],@[pad:RS],@[pad:RS],@[pad:RS],@[pad:RS]
MES_SYSTEM.BIN,0,string_pack,39,@[symbol:plus],@[symbol:plus],@[symbol:plus],@[symbol:plus],@[symbol:plus],@[symbol:plus]
MES_SYSTEM.BIN,0,string_pack,40,戻る,Back,Retour,Zurück,Indietro,Atrás
MES_SYSTEM.BIN,0,string_pack,41,詳細,Details,Infos,Details,Dettagli,Detalles
MES_SYSTEM.BIN,0,string_pack,42,戻る,Exit,Quitter,Beenden,Esci,Salir
MES_SYSTEM.BIN,0,string_pack,43,技表,Move List,Techniques,Techniken,Tecniche,Técnicas
MES_SYSTEM.BIN,0,string_pack,44,使用,Use,Utiliser,Anwenden,Usa,Usar
MES_SYSTEM.BIN,0,string_pack,45,新しいゲーマーアイコンがプレゼントされました,You have unlocked a new gamer picture.,Vous avez débloqué une nouvelle image du joueur.,Neues Spielerbild freigeschaltet.,Hai sbloccato una nuova immagine del giocatore.,Ha desbloqueado una nueva imagen de jugador.
MES_SYSTEM.BIN,0,string_pack,46,難易度 %s が解放されました。,The %s difficulty has been unlocked.,Niveau de difficulté %s débloqué !,Die Schwierigkeit %s wurde freigeschaltet.,"La difficoltà ""%s"" è stata sbloccata.",La dificultad %s se ha desbloqueado.
MES_SYSTEM.BIN,0,string_pack,47,ゲームを開始しますか？,Do you want to begin the game?,Voulez-vous commencer ?,Möchten Sie das Spiel beginnen?,Vuoi iniziare una nuova partita?,¿Quiere empezar la partida?
MES_SYSTEM.BIN,0,string_pack,48,記録を更新しました。,You achieved a new high score.,Vous avez réalisé un nouveau meilleur score.,Sie haben eine neue Höchstpunktzahl erreicht.,Hai ottenuto un nuovo record.,Ha superado la puntuación más alta.
MES_SYSTEM.BIN,0,string_pack,49,おめでとうございます。,Congratulations!,Félicitations !,Herzlichen Glückwunsch!,Congratulazioni!,¡Felicidades!
MES_SYSTEM.BIN,0,string_pack,50,ランクインしました。,You achieved a ranking in the leaderboards.,Ce dernier vous permet de faire partie du classement.,Sie haben einen Rang auf der Bestenliste erreicht.,Hai raggiunto una posizione nelle classifiche.,Ya ha conseguido un rango en el marcador.
MES_SYSTEM.BIN,0,string_pack,51,ランクインできませんでした。,"Unfortunately, you did not achieve a ranking in the leaderboards.",Mais ce dernier ne vous permet pas de faire partie du classement.,Leider haben Sie keinen Rang auf der Bestenliste erreicht.,Sfortunatamente non hai raggiunto una posizione nelle classifiche.,"Desafortunadamente, no ha conseguido un rango en el marcador."
MES_SYSTEM.BIN,0,string_pack,52,Karma Challenge ,Karma Challenge ,Défi karma,Karma-Challenge ,Sfida del karma,Reto Karma
MES_SYSTEM.BIN,0,string_pack,53,Speed Challenge ,Speed Challenge ,Défi vitesse,Geschwindigkeits-Challenge ,Sfida di velocità,Reto velocidad
MES_SYSTEM.BIN,0,string_pack,54,Weapon Challenge ,Weapon Challenge ,Défi arme,Waffen-Challenge ,Sfida delle armi,Reto arma
MES_SYSTEM.BIN,0,string_pack,55,Mission Challenge ,Mission Challenge ,Défi mission,Missions-Challenge ,Sfida missione,Reto misión
MES_SYSTEM.BIN,0,string_pack,56,ダウンロード中です。,Downloading...,Téléchargement...,Daten werden heruntergeladen...,Scaricamento in corso...,Descargando...
MES_SYSTEM.BIN,0,string_pack,57,ダウンロードに失敗しました。,Download failed.,Échec du téléchargement.,Download fehlgeschlagen.,Scaricamento non completato.,Descarga fallida.
MES_SYSTEM.BIN,0,string_pack,58,アップロード中です。,Uploading...,Transfert...,Daten werden hochgeladen...,Invio in corso...,Cargando...
MES_SYSTEM.BIN,0,string_pack,59,アップロードに失敗しました。,Upload failed.,Échec du transfert.,Upload fehlgeschlagen.,Invio fallito.,Carga fallida.
MES_SYSTEM.BIN,0,string_pack,60,保存しています。本体の電源を切らないでください。,Saving content. Please don't turn off your console.,Enregistrement en cours. Veuillez ne pas éteindre pas votre système.,Inhalt wird gespeichert. Bitte schalten Sie Ihre Konsole nicht aus.,Salvataggio contenuti. Non spegnere il sistema.,Guardando contenido. Por favor no apague el sistema.
