file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_MAIN_MENU.BIN,0,string_pack,0,FIGHTING,FIGHT,COMBAT,KAMPF,COMBATTI,LUCHAR
MES_MAIN_MENU.BIN,0,string_pack,1,プレイヤーまたはコンピュータ相手に戦います,Fight against another player or the computer.,Affrontez un adversaire ou l'IA.,Kämpfe gegen einen anderen Spieler oder den Computer.,Combatti contro un altro giocatore o il computer.,Lucha contra otro jugador o la máquina.
MES_MAIN_MENU.BIN,0,string_pack,2,STORY,STORY,HISTOIRE,GESCHICHTE,STORIA,HISTORIA
MES_MAIN_MENU.BIN,0,string_pack,3,『DEAD OR ALIVE 5』の物語が楽しめます,Experience the story of Dead or Alive 5.,Découvrir l'histoire de Dead or Alive 5. (Non disponible dans la démo.),Erlebe die Geschichte von Dead or Alive 5. (In der Demo nicht verfügbar.),Segui la storia di Dead or Alive 5. (Non disponibile nella demo.),Sumérgete en la historia de Dead or Alive 5. (No disponible en la demo.)
MES_MAIN_MENU.BIN,0,string_pack,4,ONLINE,ONLINE,EN LIGNE,ONLINE,ONLINE,ONLINE
MES_MAIN_MENU.BIN,0,string_pack,5,オンラインで他の人と楽しむモードです,Play with other people online.,Jouer en ligne avec d'autres joueurs. (Non disponible dans la démo.),Spiele mit anderen Spielern online. (In der Demo nicht verfügbar.),Gioca con altre persone online. (Non disponibile nella demo.),Juega con más personas a través de Internet. (No disponible en la demo.)
MES_MAIN_MENU.BIN,0,string_pack,6,EXTRA,EXTRAS,BONUS,EXTRAS,EXTRA,EXTRAS
MES_MAIN_MENU.BIN,0,string_pack,7,観戦や戦績閲覧など、バトル以外のモードです,Non-fighting modes such as Spectator and Fight Record.,Modes sans combat comme les modes Spectateur et Record combat. (Non disponible dans la démo.),"Kampflose Modi wie ""Zuschauer"" und ""Kampfaufzeichnungen"". (In der Demo nicht verfügbar.)",Modalità senza combattimento come Spettatore e Record. (Non disponibile nella demo.),"Modos no relativos a luchas, como Espectador y Registro de combates. (No disponible en la demo.)"
MES_MAIN_MENU.BIN,0,string_pack,8,OPTION,OPTIONS,OPTIONS,OPTIONEN,OPZIONI,OPCIONES
MES_MAIN_MENU.BIN,0,string_pack,9,各種設定をします,Adjust various settings for the game.,Ajuster différents paramètres de jeu.,Ändere diverse Einstellungen des Spiels.,Regola le varie impostazioni del gioco.,Ajusta varios parámetros del juego.
MES_MAIN_MENU.BIN,0,string_pack,10,VERSUS,VERSUS,VERSUS,GEGNER,VERSUS,VERSUS
MES_MAIN_MENU.BIN,0,string_pack,11,好きなキャラクターを選んで対戦できます,Choose a favorite character and fight an opponent.,Choisir un personnage et combattre l'adversaire.,Wähle einen Charakter und tritt gegen einen Gegner an.,Scegli il tuo personaggio preferito e affronta un avversario.,Elige tu personaje favorito y lucha contra un rival.
MES_MAIN_MENU.BIN,0,string_pack,12,ARCADE,ARCADE,ARCADE,ARCADE,ARCADE,ARCADE
MES_MAIN_MENU.BIN,0,string_pack,13,ゲームクリアのスコアを競います,Try to finish the game with the highest score.,Tenter de terminer le jeu en obtenant le score le plus élevé possible. (Non disponible dans la démo.),"Versuche, das Spiel mit der höchstmöglichen Punktzahl zu beenden. (In der Demo nicht verfügbar.)",Cerca di terminare la partita con il punteggio massimo. (Non disponibile nella demo.),Intenta acabar el juego con la máxima puntuación. (No disponible en la demo.)
MES_MAIN_MENU.BIN,0,string_pack,14,TIME ATTACK,TIME ATTACK,CONTRE-LA-MONTRE,TIME ATTACK,ATTACCO A TEMPO,CONTRARRELOJ
MES_MAIN_MENU.BIN,0,string_pack,15,ゲームクリアのタイムを競います,Try to finish the game with the fastest time.,Tenter de terminer le jeu le plus rapidement possible. (Non disponible dans la démo.),"Versuche, das Spiel so schnell wie möglich zu beenden. (In der Demo nicht verfügbar.)",Cerca di terminare la partita nel minor tempo possibile. (Non disponibile nella demo.),Intenta acabar el juego lo más rápido posible. (No disponible en la demo.)
MES_MAIN_MENU.BIN,0,string_pack,16,SURVIVAL,SURVIVAL ,SURVIE  ,SURVIVAL ,SOPRAVVIVENZA ,SUPERVIVENCIA  
MES_MAIN_MENU.BIN,0,string_pack,17,次々に襲いかかる敵を何人倒せるか競います,Fight a stream of opponents to see how many you can defeat.,Affronter une vague continue d'adversaires et tenir le plus longtemps possible. (Non disponible dans la démo.),Besiege so viele Gegner wie möglich hintereinander. (In der Demo nicht verfügbar.),Lotta contro un'ondata di nemici per vedere quanti riesci a sconfiggerne. (Non disponibile nella demo.),Derrota a todos los rivales que puedas sin perder. (No disponible en la demo.)
