file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_TRAINING.BIN,0,string_pack,0,トレーニングを続ける,CONTINUE TRAINING,,,,
MES_TRAINING.BIN,0,string_pack,1,メニューを終了してトレーニングを再開します,Close the menu and resume training.,,,,
MES_TRAINING.BIN,0,string_pack,2,トレーニング設定,TRAINING SETTINGS,,,,
MES_TRAINING.BIN,0,string_pack,3,トレーニングに関する設定を変更します,Set options for training.,,,,
MES_TRAINING.BIN,0,string_pack,4,コマンドトレーニングを始める,BEGIN COMMAND TRAINING,,,,
MES_TRAINING.BIN,0,string_pack,5,表示される技のコマンドを入力していく練習を始めます,Practice performing moves that are shown on screen.,,,,
MES_TRAINING.BIN,0,string_pack,6,コマンドトレーニングを終了する,QUIT COMMAND TRAINING,,,,
MES_TRAINING.BIN,0,string_pack,7,コマンドトレーニングを終了して通常のトレーニングに戻ります,End command training and return to regular training.,,,,
MES_TRAINING.BIN,0,string_pack,8,トレーニングを終了する,QUIT TRAINING,,,,
MES_TRAINING.BIN,0,string_pack,9,トレーニングを終了してメインメニューに戻ります,End training and return to the main menu.,,,,
MES_TRAINING.BIN,0,string_pack,10,COMレコーディング,COM RECORDING,,,,
MES_TRAINING.BIN,0,string_pack,11,コンピュータに行動を覚えさせて再現させます,Record behavior for the COM to replay.,,,,
MES_TRAINING.BIN,0,string_pack,12,記録する,RECORD,,,,
MES_TRAINING.BIN,0,string_pack,13,再生する,REPLAY,,,,
MES_TRAINING.BIN,0,string_pack,14,COMの行動,COM ACTION,,,,
MES_TRAINING.BIN,0,string_pack,15,コンピュータの行動を設定します,Sets the action of the computer,,,,
MES_TRAINING.BIN,0,string_pack,16,COMの反撃行動,COM REACTION,,,,
MES_TRAINING.BIN,0,string_pack,17,攻撃を受けた後のコンピュータの行動を設定します,Sets the counter-action of the computer,,,,
MES_TRAINING.BIN,0,string_pack,18,COMオプション,COM OPTIONS,,,,
MES_TRAINING.BIN,0,string_pack,19,特別な条件でのコンピュータの行動確率を設定します,Set COM behavior for certain conditions.,,,,
MES_TRAINING.BIN,0,string_pack,20,ヒット設定,COUNTERS,,,,
